台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,一~五,,一~六,一,,一~五,一~五,一~五,,,
"             車次

站名",E,E,C,E,E,F,B',D,C,B',,
,502,1504,300,1508,1510,802,1202,1602,1302,204,,
,,,,,,,,,,,,
左營,,,05:50,,,06:15,06:25,06:40,06:45,06:55,,
,,,,,,,,,,,,
台南,,,06:03,,,06:29,06:38,06:53,06:59,07:07,,
,,,,,,,,,,,,
嘉義,,,06:21,,,06:48,06:57,07:12,07:19,↓,,
,,,,,,,,,,,,
雲林,,,06:34,,,07:00,↓,↓,07:32,↓,,
,,,,,,,,,,,,
彰化,,,06:44,,,07:13,↓,↓,07:42,↓,,
,,,,,,,,,,,,
台中,06:25,06:45,06:56,07:05,07:17,07:25,07:21,07:40,07:53,07:48,,
,,,,,,,,,,,,
苗栗,06:44,07:05,↓,07:25,07:37,07:45,↓,↓,↓,↓,,
,,,,,,,,,,,,
新竹,06:57,07:19,↓,07:38,07:50,07:58,↓,08:05,↓,↓,,
,,,,,,,,,,,,
桃園,07:09,07:35,07:28,07:51,08:03,08:10,↓,08:18,↓,↓,,
,,,,,,,,,,,,
板橋,07:22,07:47,↓,08:05,08:16,08:22,↓,08:31,08:36,08:27,,
,,,,,,,,,,,,
台北,07:32,07:57,07:47,08:16,08:27,08:32,08:07,08:42,08:47,08:37,,
,,,,,,,,,,,,
南港,07:40,08:05,07:55,08:25,08:35,08:40,08:15,08:50,08:55,08:45,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,一~五,,,,,,一、六~日,,,,
"             車次

站名",D,E,B',F,D,B,D,B',F,D,,
,606,1514,206,806,610,108,612,1210,810,616,,
,,,,,,,,,,,,
左營,07:00,,07:15,07:25,07:35,07:55,08:00,08:15,08:25,08:35,,
,,,,,,,,,,,,
台南,07:13,,07:28,07:41,07:48,↓,08:13,08:28,08:41,08:48,,
,,,,,,,,,,,,
嘉義,07:32,,↓,08:00,08:08,↓,08:32,↓,09:00,09:08,,
,,,,,,,,,,,,
雲林,↓,,↓,08:12,↓,↓,↓,↓,09:12,↓,,
,,,,,,,,,,,,
